[01/Mar/2020 06:09:19] INFO [django.utils.autoreload:598] Watching for file changes with StatReloader
[01/Mar/2020 06:09:19] DEBUG [django.utils.autoreload:286] Waiting for apps ready_event.
[01/Mar/2020 06:09:20] DEBUG [django.utils.autoreload:297] Apps ready_event triggered. Sending autoreload_started signal.
[01/Mar/2020 06:09:20] DEBUG [django.utils.autoreload:252] Watching dir /Users/elina/Desktop/dev/backend/prudost-backend/locale with glob **/*.mo.
[01/Mar/2020 06:09:20] DEBUG [django.utils.autoreload:252] Watching dir /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/django/contrib/admin/locale with glob **/*.mo.
[01/Mar/2020 06:09:20] DEBUG [django.utils.autoreload:252] Watching dir /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/django/contrib/auth/locale with glob **/*.mo.
[01/Mar/2020 06:09:20] DEBUG [django.utils.autoreload:252] Watching dir /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/django/contrib/contenttypes/locale with glob **/*.mo.
[01/Mar/2020 06:09:20] DEBUG [django.utils.autoreload:252] Watching dir /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/django/contrib/sessions/locale with glob **/*.mo.
[01/Mar/2020 06:09:20] DEBUG [django.utils.autoreload:252] Watching dir /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/django/contrib/messages/locale with glob **/*.mo.
[01/Mar/2020 06:09:20] DEBUG [django.utils.autoreload:252] Watching dir /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/django/contrib/staticfiles/locale with glob **/*.mo.
[01/Mar/2020 06:09:20] DEBUG [django.utils.autoreload:252] Watching dir /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/django/contrib/sites/locale with glob **/*.mo.
[01/Mar/2020 06:09:20] DEBUG [django.utils.autoreload:252] Watching dir /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/rest_framework/locale with glob **/*.mo.
[01/Mar/2020 06:09:20] DEBUG [django.utils.autoreload:252] Watching dir /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/rest_framework/authtoken/locale with glob **/*.mo.
[01/Mar/2020 06:09:20] DEBUG [django.utils.autoreload:252] Watching dir /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/allauth/locale with glob **/*.mo.
[01/Mar/2020 06:09:20] DEBUG [django.utils.autoreload:252] Watching dir /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/allauth/account/locale with glob **/*.mo.
[01/Mar/2020 06:09:20] DEBUG [django.utils.autoreload:252] Watching dir /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/rest_auth/locale with glob **/*.mo.
[01/Mar/2020 06:09:20] DEBUG [django.utils.autoreload:252] Watching dir /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/rest_auth/registration/locale with glob **/*.mo.
[01/Mar/2020 06:09:20] DEBUG [django.utils.autoreload:252] Watching dir /Users/elina/Desktop/dev/backend/prudost-backend/api/locale with glob **/*.mo.
[01/Mar/2020 06:09:20] DEBUG [django.utils.autoreload:252] Watching dir /Users/elina/Desktop/dev/backend/prudost-backend/users/locale with glob **/*.mo.
[01/Mar/2020 06:09:20] DEBUG [django.utils.autoreload:349] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/django/views/decorators/cache.py first seen with mtime 1579939321.113261
[01/Mar/2020 06:09:20] DEBUG [django.utils.autoreload:349] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/rest_framework/negotiation.py first seen with mtime 1579941818.382281
[01/Mar/2020 06:09:20] DEBUG [django.utils.autoreload:349] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/sre_compile.py first seen with mtime 1576696152.0
[01/Mar/2020 06:09:20] DEBUG [django.utils.autoreload:349] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/django/core/files/temp.py first seen with mtime 1579939320.9541
[01/Mar/2020 06:09:20] DEBUG [django.utils.autoreload:349] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/django/core/handlers/wsgi.py first seen with mtime 1579939320.957331
[01/Mar/2020 06:09:20] DEBUG [django.utils.autoreload:349] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/email/charset.py first seen with mtime 1576696154.0
[01/Mar/2020 06:09:20] DEBUG [django.utils.autoreload:349] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/rest_framework/utils/model_meta.py first seen with mtime 1579941818.447707
[01/Mar/2020 06:09:20] DEBUG [django.utils.autoreload:349] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/django/utils/functional.py first seen with mtime 1579939321.097976
[01/Mar/2020 06:09:20] DEBUG [django.utils.autoreload:349] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/lib-dynload/_statistics.cpython-38-darwin.so first seen with mtime 1576696137.0
[01/Mar/2020 06:09:20] DEBUG [django.utils.autoreload:349] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/urllib3/util/connection.py first seen with mtime 1580028529.135767
[01/Mar/2020 06:09:20] DEBUG [django.utils.autoreload:349] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/urllib3/util/wait.py first seen with mtime 1580028529.137679
[01/Mar/2020 06:09:20] DEBUG [django.utils.autoreload:349] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/django/contrib/contenttypes/views.py first seen with mtime 1579939320.083527
[01/Mar/2020 06:09:20] DEBUG [django.utils.autoreload:349] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/django/db/models/base.py first seen with mtime 1579939321.013787
[01/Mar/2020 06:09:20] DEBUG [django.utils.autoreload:349] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/django/contrib/auth/validators.py first seen with mtime 1579939319.937111
[01/Mar/2020 06:09:20] DEBUG [django.utils.autoreload:349] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/django/db/models/sql/datastructures.py first seen with mtime 1579939321.028639
[01/Mar/2020 06:09:20] DEBUG [django.utils.autoreload:349] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/site-packages/django/template/backends/django.py first seen with mtime 1579939321.075983
